station_id	first_date	first_year	last_date	last_year	data_days	data_starts	data_ends	code	name	lon	lat	boro	region_id	geoid
2004	2013-07-01	2013	2017-03-03	2017	1331	90318	92332		6 Ave & Broome St	-74.004704	40.724399	MN	71	102
255	2015-03-29	2015	2017-05-09	2017	431	1328	1449	D	NYCBS Depot - SSP	-74.01651	40.646768	BK	71	307
3111	2015-08-14	2015	2017-07-13	2017	691	15761	15503		Norman Ave & Leonard St	-73.95064893	40.7258483	BK	71	301
3098	2015-08-16	2015	2017-02-24	2017	485	7600	7251		Leonard St & Bayard St	-73.94861	40.71928	BK	71	301
3114	2015-08-24	2015	2017-04-04	2017	562	5273	5556		India St & East River	-73.96161892	40.73165141	BK	71	301
3197	2015-09-21	2015	2017-10-02	2017	675	2735	3069		North St	-74.044725	40.752559	JC	70	906
3215	2015-09-21	2015	2017-10-02	2017	711	3645	3333	T2	JSQ Don't Use					
3230	2015-09-25	2015	2017-02-19	2017	360	76665	44889		Penn Station Valet	-73.99692446	40.7512836	MN	71	104
3219	2015-10-01	2015	2017-05-29	2017	350	323	1331	D	NYCBS Depot - STY	-73.976655	40.729193	MN	71	106
3017	2015-10-05	2015	2017-04-24	2017	240	17	409	D	NYCBS Depot - FAR	-73.996764	40.751483	MN	71	104
3237	2015-10-30	2015	2017-02-02	2017	449	3752	3851		21 St & 41 Ave	-73.94267678	40.75383343	QN	71	401
3253	2016-05-05	2016	2017-06-17	2017	4	154	146	S	Bike The Branches - Central Branch	-73.96886587	40.67280641	BK	71	355
3257	2016-06-17	2016	2017-06-17	2017	4	247	254	S	Adventures NYC	-73.97116989	40.77376867	MN	71	164
3264	2016-07-06	2016	2017-03-28	2017	200	10364	10347		E 61 St & Park Ave	-73.96910459	40.76421007	MN	71	108
3265	2016-07-08	2016	2017-03-21	2017	254	19468	19719		E 2 St & 2 Ave E	-73.98944378	40.72456343	MN	71	103
3247	2016-07-22	2016	2017-08-02	2017	4	0	4	T2	SSP - Basement					
3353	2016-08-31	2016	2017-10-13	2017	353	8246	8649		Reed St & Van Brunt St	-74.01612847	40.6747844	BK	71	306
3446	2017-01-30	2017	2017-02-08	2017	3	2	4	T2	NYCBS Depot - STY - Valet Scan					
3445	2017-02-03	2017	2017-07-27	2017	168	5056	5053		Riverside Dr & W 89 St	-73.97860229	40.79181172	MN	71	107
3450	2017-02-17	2017	2017-04-13	2017	26	1670	397		Penn Station Valet - Valet Scan	-73.9969245	40.7512836	MN	71	104
3442	2017-03-24	2017	2017-03-24	2017	1	0	1	T2	Indiana					
3464	2017-05-04	2017	2017-10-30	2017	87	8237	8271		W 37 St & Broadway	-73.98770571	40.75227094	MN	71	105
3470	2017-06-26	2017	2017-08-18	2017	5	9	7		Gowanus Tech Station	-73.99490476	40.66980193	BK	71	306
3248	2017-06-27	2017	2017-06-27	2017	1	2	3	T2	LPI Facility					
3476	2017-07-13	2017	2017-11-01	2017	112	4418	4445		Norman Ave & Leonard St	-73.9507395	40.72576997	BK	71	301
3480	2017-08-22	2017	2017-10-02	2017	47	30	543	T2	Washington Street (Don't Use)					
3633	2017-09-14	2017	2017-09-14	2017	1	1	1	T2	333 Johnson TEST 1					
3636	2017-09-17	2017	2017-11-10	2017	20	11	23		Expansion Warehouse 333 Johnson Ave	-73.93452287	40.70773148	BK	71	301
3471	2017-09-22	2017	2017-09-22	2017	1	0	1	D	NYCBS Depot - GOW Annex	-73.99481356	40.66888416	BK	71	306
3548	2017-10-09	2017	2017-12-27	2017	80	671	638		Pacific St & Bedford Ave	-73.9529322	40.6777747	BK	71	308
3550	2017-11-06	2017	2017-11-14	2017	9	41	45		Convent Ave & W 129 St	-73.953005	40.81413	MN	71	109
253	2013-07-01	2013	2018-10-12	2018	1411	146319	147345		W 13 St & 5 Ave	-73.99453948	40.73543934	MN	71	102
306	2013-07-01	2013	2018-08-14	2018	1835	126518	128969		Cliff St & Fulton St_1	-74.00530063	40.70823502	MN	71	101
322	2013-07-01	2013	2018-11-30	2018	1846	62829	61262		Clinton St & Tillary St	-73.991218	40.696192	BK	71	302
345	2013-07-01	2013	2018-10-15	2018	1859	241733	242431		W 13 St & 6 Ave	-73.99704374	40.73649403	MN	71	102
428	2013-07-01	2013	2018-01-26	2018	1572	173302	172883		E 3 St & 1 Ave	-73.98783413	40.72467721	MN	71	103
430	2013-07-01	2013	2018-02-27	2018	1696	106451	110606		York St & Jay St	-73.98656928	40.7014851	BK	71	302
433	2013-07-01	2013	2018-10-16	2018	1913	231783	226749		E 13 St & Avenue A	-73.98057249	40.72955361	MN	71	103
449	2013-07-01	2013	2018-03-08	2018	1700	110845	102993		W 52 St & 9 Ave	-73.98789473	40.76461837	MN	71	104
527	2013-07-01	2013	2018-06-14	2018	1649	220165	215942		E 33 St & 2 Ave	-73.976056	40.744023	MN	71	106
2001	2013-07-01	2013	2018-06-29	2018	1691	14274	16470		Sands St & Navy St	-73.979927	40.699773	BK	71	302
3180	2015-07-29	2015	2018-09-14	2018	1092	36326	36158		Brooklyn Bridge Park - Pier 2	-73.99712	40.69878	BK	71	302
3120	2015-08-05	2015	2018-12-27	2018	1212	17613	18417		Center Blvd & Borden Ave	-73.96044	40.74161	QN	71	402
3103	2015-08-17	2015	2018-07-05	2018	999	28040	28323		N 11 St & Wythe Ave	-73.95782357	40.72153267	BK	71	301
3090	2015-08-18	2015	2018-11-13	2018	1157	95789	98370		N 8 St & Driggs Ave	-73.95600096	40.71774592	BK	71	301
3073	2015-08-19	2015	2018-07-23	2018	1058	15378	14911		Division Ave & Hooper St	-73.95441667	40.70691254	BK	71	301
3224	2015-08-31	2015	2018-05-11	2018	978	136120	142525		W 13 St & Hudson St	-74.00513873	40.73997354	MN	71	102
3176	2015-09-02	2015	2018-07-27	2018	982	57162	55625		W 64 St & West End Ave	-73.98753759	40.77452835	MN	71	107
3188	2015-09-21	2015	2018-04-13	2018	658	1167	1140		NJCU	-74.0858489	40.7101087	JC	70	906
3200	2015-09-21	2015	2018-04-19	2018	519	588	513		MLK Light Rail	-74.0788855	40.7111305	JC	70	906
3216	2015-09-21	2015	2018-04-12	2018	503	525	574		Columbia Park	-74.0969366	40.6970299	JC	70	906
3217	2015-09-21	2015	2018-04-26	2018	505	643	574		Bayside Park	-74.08207968	40.69865054	JC	70	906
3189	2015-09-21	2015	2018-04-21	2018	670	730	1062		West Side Light Rail	-74.0887723	40.714402	JC	70	906
3190	2015-09-22	2015	2018-04-23	2018	877	2379	2335		Garfield Ave Station	-74.0700388	40.71046702	JC	70	906
3238	2015-12-05	2015	2018-02-02	2018	781	32408	31867		E 80 St & 2 Ave	-73.95439535	40.7739139	MN	71	108
3036	2016-07-12	2016	2018-07-18	2018	14	28	26	T1	8D OPS 01	-73.999722	40.66290777	BK	71	307
3271	2016-07-28	2016	2018-04-18	2018	305	317	373		Danforth Light Rail	-74.08801228	40.69263997	JC	70	906
3274	2016-07-29	2016	2018-04-26	2018	116	114	113		Bethune Center	-74.08593088	40.70495752	JC	70	906
3316	2016-08-09	2016	2018-06-22	2018	679	17412	15606		W 104 St & Amsterdam Ave - 1	-73.96621738	40.7989937	MN	71	107
3428	2016-09-02	2016	2018-01-12	2018	437	68884	69191		8 Ave & W 16 St	-74.001702	40.740983	MN	71	104
3438	2016-11-01	2016	2018-09-27	2018	692	23978	23960		E 76 St & 3 Ave	-73.95842135	40.77224854	MN	71	108
3239	2016-12-22	2016	2018-12-10	2018	87	309	309		Bressler	-74.01658773	40.64653837	BK	71	307
3447	2017-01-31	2017	2018-06-06	2018	480	25366	25495		E 71 St & 1 Ave	-73.9562273	40.76703432	MN	71	108
3455	2017-03-01	2017	2018-06-07	2018	461	9875	10155		Schermerhorn St & 3 Ave	-73.98036182	40.68680821	BK	71	302
3468	2017-05-30	2017	2018-07-31	2018	320	508	859	D	NYCBS Depot - STY - Garage 4	-73.9747502	40.7303801	MN	71	106
3485	2017-08-15	2017	2018-07-31	2018	58	45	79	D	NYCBS Depot - RIS	-73.974724	40.725208	MN	71	103
3488	2017-08-22	2017	2018-07-18	2018	11	19	22	T2	8D QC Station 01	-73.56946349	45.50636405			
3632	2017-09-13	2017	2018-10-22	2018	405	46345	48864		E 12 St & Avenue B	-73.9788115	40.72804857	MN	71	103
3642	2017-10-06	2017	2018-03-01	2018	147	732	731		E 98 St & Lexington Ave	-73.95012259	40.7872852	MN	71	111
3594	2017-10-13	2017	2018-01-10	2018	84	269	282		Montgomery St & Franklin Ave OLD	-73.9593484	40.6661649	BK	71	309
3644	2017-10-13	2017	2018-05-16	2018	212	2954	3329		Van Dyke St & Van Brunt St	-74.01488185	40.67581623	BK	71	306
3643	2017-10-16	2017	2018-04-16	2018	182	12077	11674		E 41 St & 5 Ave	-73.98123622	40.75272201	MN	71	105
3625	2017-10-24	2017	2018-10-03	2018	336	2288	2217		28 St & 40 Ave	-73.9364281	40.7525758	QN	71	401
3650	2017-11-16	2017	2018-07-11	2018	39	144	143	T2	8D Mobile 01	-73.56890559	45.50626419			
3645	2017-12-20	2017	2018-07-20	2018	2	0	2	T1	Bike Mechanics at Riis Room B	-73.99706125	40.67233267	BK	71	306
3652	2018-01-08	2018	2018-02-28	2018	2	0	2	D	NYCBS Depot - 3AV	-73.99230838	40.67013328	BK	71	306
3487	2018-02-20	2018	2018-07-26	2018	3	12	13	T1	Prototype Lab Motivate Headquarters	-74.00849283	40.65659567	BK	71	307
3669	2018-03-06	2018	2018-12-17	2018	287	2000	2076		Henry St & W 9 St	-74.00314048	40.67630358	BK	71	306
3672	2018-03-14	2018	2018-03-23	2018	4	3	3		Apache	-73.99474382	40.66976709	BK	71	306
3683	2018-05-08	2018	2018-07-03	2018	4	91	78	S	Smart Cities Conference	-73.98453534	40.71015471	MN	71	103
3666	2018-05-18	2018	2018-12-13	2018	210	8168	8187		32 St & 30 Ave	-73.92062902	40.76642553	QN	71	401
3685	2018-05-25	2018	2018-05-27	2018	2	72	71	S	Prospect Park - 5 Year Anniversary Celebration	-73.96459043	40.66065237	BK	71	355
3651	2018-06-15	2018	2018-07-24	2018	2	0	2	T1	Bike Mechanics at Riis Room A	-73.97468617	40.72522577	MN	71	103
3688	2018-06-18	2018	2018-11-09	2018	145	13109	13125		2 Ave & E 55 St	-73.96638215	40.75792021	MN	71	106
3695	2018-07-23	2018	2018-09-26	2018	66	9385	9518		E 5 St & 2 Ave	-73.98919031	40.72686952	MN	71	103
3700	2018-08-09	2018	2018-09-07	2018	30	1520	1523		E 87 St & 3 Ave	-73.95333588	40.77940609	MN	71	108
314	2013-07-01	2013	2019-11-08	2019	1947	86823	81693		Cadman Plaza West & Montague St	-73.990539	40.69383	BK	71	302
357	2013-07-01	2013	2019-04-22	2019	2096	153803	153808		E 11 St & Broadway	-73.99158043	40.73261787	MN	71	102
365	2013-07-01	2013	2019-07-17	2019	2198	53396	50908		Fulton St & Grand Ave	-73.9614583	40.68223166	BK	71	302
382	2013-07-01	2013	2019-09-17	2019	2217	420293	434572		University Pl & E 14 St	-73.99200509	40.73492695	MN	71	102
407	2013-07-01	2013	2019-05-16	2019	2059	46482	40726		Henry St & Poplar St	-73.991454	40.700469	BK	71	302
409	2013-07-01	2013	2019-03-25	2019	2076	33403	31943		DeKalb Ave & Skillman St	-73.95643107	40.6906495	BK	71	303
414	2013-07-01	2013	2019-06-27	2019	2174	83754	91894		Pearl St & Anchorage Pl	-73.98765762	40.70281858	BK	71	302
441	2013-07-01	2013	2019-07-12	2019	2159	152596	152660		E 52 St & 2 Ave	-73.967416	40.756014	MN	71	106
488	2013-07-01	2013	2019-09-18	2019	1432	183716	188296		W 39 St & 9 Ave	-73.99372222	40.75645824	MN	71	104
498	2013-07-01	2013	2019-07-22	2019	2123	280088	273821		Broadway & W 32 St	-73.98808416	40.74854862	MN	71	105
524	2013-07-01	2013	2019-06-18	2019	1921	202009	201284		W 43 St & 6 Ave	-73.98316936	40.75527307	MN	71	105
2023	2013-07-01	2013	2019-07-12	2019	2111	109578	109845		E 55 St & Lexington Ave	-73.97031366	40.75968085	MN	71	105
3091	2015-08-19	2015	2019-01-29	2019	1249	17974	17376		Frost St & Meeker St	-73.94882	40.71764	BK	71	301
3223	2015-08-26	2015	2019-06-06	2019	1373	121580	122068		E 55 St & 3 Ave	-73.96865398	40.75899656	MN	71	106
3183	2015-09-21	2015	2019-05-20	2019	1356	66790	81691		Exchange Place	-74.0334588	40.7162469	JC	70	906
3162	2015-10-09	2015	2019-12-06	2019	1512	86512	81489		W 78 St & Broadway	-73.98093133	40.78339981	MN	71	107
3155	2015-10-14	2015	2019-09-05	2019	1328	84646	84863		Lexington Ave & E 63 St	-73.96648977	40.76440023	MN	71	108
3153	2015-12-11	2015	2019-01-11	2019	493	18652	18547		E 71 St & 2 Ave	-73.95910263	40.76817547	MN	71	108
3240	2016-01-21	2016	2019-08-02	2019	231	124	284	D	NYCBS Depot BAL - DYR	-73.9938587	40.75903008	MN	71	104
3040	2016-04-01	2016	2019-06-24	2019	63	49	80		Handlebar @ Gowanus	-73.99497986	40.66979964	BK	71	306
3250	2016-04-01	2016	2019-03-07	2019	275	48	495	D	58th St Depot	-73.98383796	40.71690978	MN	71	103
3258	2016-07-19	2016	2019-06-28	2019	1072	148368	149721		W 27 St & 10 Ave	-74.00218427	40.75018156	MN	71	104
3413	2016-08-18	2016	2019-12-09	2019	1184	29081	29387		Wyckoff St & 3 Ave	-73.98258555	40.6827549	BK	71	306
3401	2016-08-24	2016	2019-05-31	2019	1005	10259	10631		2 Ave & 9 St	-73.99331394	40.6724811	BK	71	306
3427	2016-08-29	2016	2019-08-20	2019	1083	184680	186460		Lafayette St & Jersey St	-73.99600983	40.72430527	MN	71	102
3431	2016-09-14	2016	2019-02-18	2019	884	69131	69071		E 35 St & 3 Ave	-73.977885	40.746524	MN	71	106
3434	2016-09-30	2016	2019-08-15	2019	991	37889	36292		W 88 St & West End Ave	-73.9771834	40.79025417	MN	71	107
3371	2016-12-19	2016	2019-04-24	2019	845	12345	13208		4 Ave & 2 St	-73.98501143	40.67461342	BK	71	306
3449	2017-03-02	2017	2019-11-01	2019	970	16372	16331		Eckford St & Engert Ave	-73.94800901	40.72146256	BK	71	301
3458	2017-05-12	2017	2019-05-07	2019	689	82763	83324		W 55 St & 6 Ave	-73.97835016	40.76309387	MN	71	105
3466	2017-05-26	2017	2019-04-29	2019	519	52295	52370		W 45 St & 6 Ave	-73.98257732	40.75668721	MN	71	105
3474	2017-06-29	2017	2019-03-07	2019	620	58525	59748		6 Ave & Spring St	-74.00412083	40.7252557	MN	71	102
3489	2017-08-28	2017	2019-01-28	2019	519	18083	18262		Gold St & Frankfort St	-74.00354147	40.71069995	MN	71	101
3560	2017-09-25	2017	2019-10-15	2019	750	9873	9731		28 St & 38 Ave	-73.934326	40.754876	QN	71	401
3512	2017-10-03	2017	2019-08-29	2019	656	2403	2588		27 Ave & 4 St	-73.9337894	40.7747175	QN	71	401
3631	2017-10-07	2017	2019-07-03	2019	541	3414	3503		Crown St & Bedford Ave	-73.956741	40.666563	BK	71	309
3653	2017-12-22	2017	2019-02-20	2019	425	5703	5716		31 St & 35 Ave	-73.9283216	40.75820465	QN	71	401
3659	2018-01-12	2018	2019-03-11	2019	415	36654	37984		W 17 St & 9 Ave	-74.00413692	40.74294892	MN	71	104
3660	2018-01-18	2018	2019-06-03	2019	465	95901	96414		W 16 St & 8 Ave	-74.00138497	40.74102151	MN	71	104
3663	2018-01-19	2018	2019-02-04	2019	356	14635	14561		Sterling Pl & 7 Ave	-73.97382796	40.67716489	BK	71	306
3675	2018-05-03	2018	2019-09-10	2019	496	14115	14191		3 Ave & E 95 St	-73.94968539	40.7845968	MN	71	108
3684	2018-05-14	2018	2019-04-30	2019	352	35700	36072		W 12 St & W 4 St	-74.00398269	40.73756121	MN	71	102
3701	2018-08-14	2018	2019-06-14	2019	302	25632	26066		Cliff St & Fulton St	-74.00504082	40.70831794	MN	71	101
3719	2018-12-07	2018	2019-01-03	2019	28	248	281		S Portland Ave & Atlantic Ave	-73.97381186	40.68322254	BK	71	302
3747	2019-03-04	2019	2019-10-19	2019	230	23983	24020		E 84 St & 3 Ave	-73.9551276	40.77755374	MN	71	108
3750	2019-05-21	2019	2019-05-21	2019	1	0	4	D	Forrest Tech Shop (parts testing)	-73.93207671	40.70300569	BK	71	304
3805	2019-09-06	2019	2019-11-19	2019	75	2016	1954		E 80 St & Park Ave	-73.959757	40.776173	MN	71	108
72	2013-07-01	2013	2020-12-31	2020	2671	260357	261523		W 52 St & 11 Ave	-73.99392888	40.76727216	MN	71	104
79	2013-07-01	2013	2020-12-31	2020	2723	187319	190855		Franklin St & W Broadway	-74.00666661	40.71911552	MN	71	101
82	2013-07-01	2013	2020-12-31	2020	2660	83356	84045		St James Pl & Pearl St	-74.00016545	40.71117416	MN	71	103
83	2013-07-01	2013	2020-12-31	2020	2637	107934	115176		Atlantic Ave & Fort Greene Pl	-73.97632328	40.68382604	BK	71	302
116	2013-07-01	2013	2020-12-31	2020	2110	305953	308650		W 17 St & 8 Ave	-74.00149746	40.74177603	MN	71	104
120	2013-07-01	2013	2020-12-31	2020	2723	63670	60448		Lexington Ave & Classon Ave	-73.95928168	40.68676793	BK	71	303
127	2013-07-01	2013	2020-12-31	2020	2718	417630	421839		Barrow St & Hudson St	-74.00674436	40.73172428	MN	71	102
128	2013-07-01	2013	2020-12-31	2020	2669	415949	426018		MacDougal St & Prince St	-74.00297088	40.72710258	MN	71	102
143	2013-07-01	2013	2020-12-31	2020	2731	123376	123646		Clinton St & Joralemon St	-73.99337909	40.69239502	BK	71	302
144	2013-07-01	2013	2020-12-31	2020	2711	58814	63927		Nassau St & Navy St	-73.98068914	40.69839895	BK	71	302
146	2013-07-01	2013	2020-12-31	2020	2733	191906	192772		Hudson St & Reade St	-74.0091059	40.71625008	MN	71	101
150	2013-07-01	2013	2020-12-31	2020	2728	199308	192734		E 2 St & Avenue C	-73.98085795	40.7208736	MN	71	103
151	2013-07-01	2013	2020-12-31	2020	2733	547069	550656		Cleveland Pl & Spring St	-73.99724901	40.72210379	MN	71	102
152	2013-07-01	2013	2020-12-31	2020	1874	103971	106850		Warren St & W Broadway	-74.00910627	40.71473993	MN	71	101
157	2013-07-01	2013	2020-12-31	2020	2724	124125	127301		Henry St & Atlantic Ave	-73.99612349	40.69089272	BK	71	302
161	2013-07-01	2013	2020-12-31	2020	2615	345847	354941		LaGuardia Pl & W 3 St	-73.99810231	40.72917025	MN	71	102
164	2013-07-01	2013	2020-12-31	2020	2687	210004	209248		E 47 St & 2 Ave	-73.97032517	40.75323098	MN	71	106
167	2013-07-01	2013	2020-09-04	2020	2562	300596	294363		E 39 St & 3 Ave	-73.97604882	40.7489006	MN	71	106
168	2013-07-01	2013	2020-12-31	2020	2625	458727	471050		W 18 St & 6 Ave	-73.99456405	40.73971301	MN	71	105
173	2013-07-01	2013	2020-12-30	2020	2705	380941	371719		Broadway & W 49 St	-73.98452729	40.76068327	MN	71	105
174	2013-07-01	2013	2020-12-31	2020	2733	258381	256042		E 25 St & 1 Ave	-73.97738662	40.7381765	MN	71	106
195	2013-07-01	2013	2020-08-28	2020	2605	261228	259214		Liberty St & Broadway	-74.01043382	40.70905623	MN	71	101
212	2013-07-01	2013	2020-12-31	2020	2661	308832	312093		W 16 St & The High Line	-74.00681753	40.74334935	MN	71	104
216	2013-07-01	2013	2020-12-31	2020	2710	57264	50702		Columbia Heights & Cranberry St	-73.99548059	40.70037867	BK	71	302
217	2013-07-01	2013	2020-12-31	2020	2717	201565	224953		Old Fulton St	-73.99383605	40.70277159	BK	71	302
223	2013-07-01	2013	2020-12-31	2020	2416	266154	268231		W 13 St & 7 Ave	-73.99994661	40.73781509	MN	71	102
224	2013-07-01	2013	2020-12-31	2020	2115	127308	126883		Spruce St & Nassau St	-74.00552427	40.71146364	MN	71	101
228	2013-07-01	2013	2020-12-31	2020	2685	190703	190712		E 48 St & 3 Ave	-73.97187886	40.7546011	MN	71	106
229	2013-07-01	2013	2020-12-31	2020	2670	432864	444520		Great Jones St	-73.99379025	40.72743423	MN	71	102
232	2013-07-01	2013	2020-12-31	2020	1972	65802	65375		Cadman Plaza E & Tillary St	-73.99014892	40.69597683	BK	71	302
236	2013-07-01	2013	2020-12-31	2020	2704	363942	373300		St Marks Pl & 2 Ave	-73.98713956	40.7284186	MN	71	103
237	2013-07-01	2013	2020-12-31	2020	2699	373969	379281		E 11 St & 2 Ave	-73.98672378	40.73047309	MN	71	103
238	2013-07-01	2013	2020-12-31	2020	2693	222421	224278		Bank St & Washington St	-74.00859207	40.7361967	MN	71	102
239	2013-07-01	2013	2020-12-31	2020	2731	131159	123900		Willoughby St & Fleet St	-73.9813018	40.69196566	BK	71	302
241	2013-07-01	2013	2020-12-31	2020	2727	96791	92647		DeKalb Ave & S Portland Ave	-73.97493121	40.68981035	BK	71	302
242	2013-07-01	2013	2020-12-31	2020	2715	71169	76397		Carlton Ave & Flushing Ave	-73.973736	40.697787	BK	71	302
243	2013-07-01	2013	2020-01-21	2020	2375	71824	84935		Fulton St & Rockwell Pl	-73.979458	40.68841	BK	71	302
244	2013-07-01	2013	2020-12-31	2020	2734	93696	88050		Willoughby Ave & Hall St	-73.96536851	40.69196035	BK	71	302
245	2013-07-01	2013	2020-12-31	2020	2726	50503	46125		Myrtle Ave & St Edwards St	-73.97703874	40.69327018	BK	71	302
